weatherstn,ALARM_DATE,obs,obs_value,Fire station name,UNIT_ID,GIS_ACRES,Shape__Area,Shape__Length,YEAR_,fire_occurred
US1CAHM0029,2022-08-29,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,28.42003,204958.1563,2548.34874,2022.0,1
US1CAHM0029,2022-08-29,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,26.31805,189830.9336,2197.942426,2022.0,1
US1CAHM0029,2022-08-29,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,28.42003,204958.1563,2548.34874,2022.0,1
US1CAHM0029,2022-08-29,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,26.31805,189830.9336,2197.942426,2022.0,1
US1CAHM0029,2022-09-04,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,17.09855,118595.9805,1704.679967,2022.0,1
US1CAHM0029,2022-09-04,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,17.09855,118595.9805,1704.679967,2022.0,1
US1CAHM0029,2022-10-20,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,21.17796,146996.1719,2062.324927,2022.0,1
US1CAHM0029,2022-10-20,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,21.17796,146996.1719,2062.324927,2022.0,1
US1CAHM0029,2023-08-08,PRCP,0,Humboldt - Del Norte CAL FIRE,HUU,12.89246,92530.39844,1441.227204,2023.0,1
US1CAHM0029,2023-08-15,PRCP,5,Humboldt - Del Norte CAL FIRE,HUU,1055.172,7430767.449,19672.84572,2023.0,1
US1CAHM0029,2023-08-08,SNOW,0,Humboldt - Del Norte CAL FIRE,HUU,12.89246,92530.39844,1441.227204,2023.0,1
US1CALK0018,2021-04-17,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,1.20866,8055.453125,389.7807375,2021.0,1
US1CALK0018,2021-04-18,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,1.056455,7094.75,391.3540875,2021.0,1
US1CALK0018,2021-04-20,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,2.227886,14745.20313,521.1592674,2021.0,1
US1CALK0018,2021-04-28,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,62.66148,416141.9336,2981.475997,2021.0,1
US1CALK0018,2021-04-28,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,8.720953,58736.39844,1454.226318,2021.0,1
US1CALK0018,2021-04-29,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,1.552339,10328.99219,462.6340484,2021.0,1
US1CALK0018,2021-04-29,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,58.34655,390167.832,2873.109103,2021.0,1
US1CALK0018,2021-04-17,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,1.20866,8055.453125,389.7807375,2021.0,1
US1CALK0018,2021-04-18,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,1.056455,7094.75,391.3540875,2021.0,1
US1CALK0018,2021-04-20,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,2.227886,14745.20313,521.1592674,2021.0,1
US1CALK0018,2021-04-28,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,62.66148,416141.9336,2981.475997,2021.0,1
US1CALK0018,2021-04-28,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,8.720953,58736.39844,1454.226318,2021.0,1
US1CALK0018,2021-04-29,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,1.552339,10328.99219,462.6340484,2021.0,1
US1CALK0018,2021-04-29,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,58.34655,390167.832,2873.109103,2021.0,1
US1CALK0018,2021-05-08,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,2.854398,19001.35938,638.5582904,2021.0,1
US1CALK0018,2021-05-08,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,55.25064,361697.5352,3198.162964,2021.0,1
US1CALK0018,2021-05-08,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,8.655844,58145.94141,1538.644948,2021.0,1
US1CALK0018,2021-05-16,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,20.24225,134086.8906,1689.146471,2021.0,1
US1CALK0018,2021-05-26,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,2.58838,17132.08203,540.4750705,2021.0,1
US1CALK0018,2021-05-26,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,8.765407,57675.94531,1159.548581,2021.0,1
US1CALK0018,2021-05-29,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,6.082049,40184.58594,1055.994916,2021.0,1
US1CALK0018,2021-05-08,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,2.854398,19001.35938,638.5582904,2021.0,1
US1CALK0018,2021-05-08,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,55.25064,361697.5352,3198.162964,2021.0,1
US1CALK0018,2021-05-08,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,8.655844,58145.94141,1538.644948,2021.0,1
US1CALK0018,2021-05-16,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,20.24225,134086.8906,1689.146471,2021.0,1
US1CALK0018,2021-05-26,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,2.58838,17132.08203,540.4750705,2021.0,1
US1CALK0018,2021-05-26,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,8.765407,57675.94531,1159.548581,2021.0,1
US1CALK0018,2021-05-29,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,6.082049,40184.58594,1055.994916,2021.0,1
US1CALK0018,2021-06-07,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,1.75886,11575.72656,489.9099888,2021.0,1
US1CALK0018,2021-06-09,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,18.52191,123894.0703,1364.235275,2021.0,1
US1CALK0018,2021-06-13,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,7.733727,51569.26953,880.1330076,2021.0,1
US1CALK0018,2021-06-14,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,2.842491,18991.38281,555.3291773,2021.0,1
US1CALK0018,2021-06-23,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,4.769748,31392.32813,769.1524617,2021.0,1
US1CALK0018,2021-06-07,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,1.75886,11575.72656,489.9099888,2021.0,1
US1CALK0018,2021-06-09,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,18.52191,123894.0703,1364.235275,2021.0,1
US1CALK0018,2021-06-13,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,7.733727,51569.26953,880.1330076,2021.0,1
US1CALK0018,2021-06-14,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,2.842491,18991.38281,555.3291773,2021.0,1
US1CALK0018,2021-06-23,SNOW,0,Sonoma - Lake - Napa CAL FIRE,LNU,4.769748,31392.32813,769.1524617,2021.0,1
US1CALK0018,2021-07-03,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,5.558945,37438.71094,787.935723,2021.0,1
US1CALK0018,2021-07-07,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,6.612106,43608.45313,1151.747327,2021.0,1
US1CALK0018,2021-07-09,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,1.90975,12644.34375,467.6411589,2021.0,1
US1CALK0018,2021-07-18,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,2.714847,17912.99609,595.9980963,2021.0,1
US1CALK0018,2021-07-20,PRCP,0,Sonoma - Lake - Napa CAL FIRE,LNU,29.98372,197580.6758,2232.545408,2021.0,1
