US1CACL0001,20230227,PRCP,5,,,N,700.0
US1CACL0001,20230228,PRCP,36,,,N,700.0
US1CACL0001,20230305,PRCP,53,,,N,700.0
US1CACL0001,20230306,PRCP,25,,,N,700.0
US1CACL0001,20230307,PRCP,28,,,N,700.0
US1CACL0001,20230308,PRCP,8,,,N,700.0
US1CACL0001,20230310,PRCP,310,,,N,700.0
US1CACL0001,20230312,PRCP,48,,,N,700.0
US1CACL0001,20230313,PRCP,8,,,N,700.0
US1CACL0001,20230314,PRCP,127,,,N,700.0
US1CACL0001,20230315,PRCP,231,,,N,700.0
US1CACL0001,20230320,PRCP,155,,,N,700.0
US1CACL0001,20230321,PRCP,25,,,N,700.0
US1CACL0001,20230322,PRCP,353,,,N,700.0
US1CACL0001,20230323,PRCP,33,,,N,700.0
US1CACL0001,20230324,PRCP,18,,,N,700.0
US1CACL0001,20230328,PRCP,46,,,N,700.0
US1CACL0001,20230329,PRCP,102,,,N,700.0
US1CACL0001,20230330,PRCP,84,,,N,700.0
US1CACL0001,20230407,PRCP,86,,,N,700.0
US1CACL0001,20230502,PRCP,3,,,N,700.0
US1CACL0001,20230503,PRCP,145,,,N,700.0
US1CACL0001,20230504,PRCP,56,,,N,700.0
US1CACL0001,20230507,PRCP,13,,,N,700.0
US1CACL0001,20230524,PRCP,30,,,N,700.0
US1CACL0001,20230526,PRCP,8,,,N,700.0
US1CACL0001,20230506,DAPR,2,,,N,700.0
US1CACL0001,20230506,MDPR,56,,,N,700.0
US1CACL0001,20230607,PRCP,3,,,N,700.0
US1CACL0001,20230817,PRCP,5,,,N,700.0
US1CACL0001,20230926,PRCP,5,,,N,700.0
US1CACL0001,20230930,PRCP,56,,,N,700.0
US1CACL0001,20231023,PRCP,292,,,N,700.0
US1CACL0001,20231026,PRCP,8,,,N,700.0
US1CACL0001,20231116,PRCP,13,,,N,700.0
US1CACL0001,20231118,PRCP,89,,,N,700.0
US1CACL0001,20231119,PRCP,5,,,N,700.0
US1CACL0001,20231207,PRCP,107,,,N,700.0
US1CACL0001,20231218,PRCP,241,,,N,700.0
US1CACL0001,20231219,PRCP,239,,,N,700.0
US1CACL0001,20231220,PRCP,38,,,N,700.0
US1CACL0001,20231221,PRCP,89,,,N,700.0
US1CACL0001,20231228,PRCP,203,,,N,700.0
US1CACL0001,20231229,PRCP,10,,,N,700.0
US1CACL0001,20231230,PRCP,312,,,N,700.0
US1CACL0001,20240113,PRCP,13,,,N,700.0
US1CACL0001,20240114,PRCP,5,,,N,700.0
US1CACL0001,20240117,PRCP,142,,,N,700.0
US1CACL0001,20240120,PRCP,76,,,N,700.0
